op,case,cur_o2_ms,best_o2_ms,cur_o3_ms,best_o3_ms,ratio_o2,ratio_o3
mul,max_max_03 .in,38.63110000020242,37.667599999622325,38.99230000024545,39.67679999914253,1.026,0.983
mul,max_max_04 .in,37.977699999828474,38.275100001555984,39.143899999544374,38.61030000007304,0.992,1.014
mul,max_max_05 .in,38.40929999932996,38.320900001053815,38.17399999934423,37.735399999291985,1.002,1.012
mul,max_max_06 .in,37.40780000043742,37.73209999963001,38.548299999092706,37.82560000036028,0.991,1.019
mul,max_max_07 .in,37.367499999163556,37.70340000119177,38.55750000002445,38.705500001015025,0.991,0.996
mul,medium_00.in,28.577400000358466,29.037000000244007,28.768999998646905,29.66049999849929,0.984,0.970
mul,medium_01.in,28.7679000011849,29.09159999944677,29.03610000066692,29.32679999867105,0.989,0.990
mul,medium_02.in,28.20419999989099,28.671899999608286,28.442599999834783,29.30209999976796,0.984,0.971
mul,small_00.in,45.31689999930677,44.21550000006391,43.385199998738244,43.47240000060992,1.025,0.998
mul,zero_00.in,13.50310000088939,13.8732000013988,14.01830000031623,13.831500000378583,0.973,1.014
div,a_max_b_random_00.in,35.58499999962805,35.84939999927883,36.67250000034983,37.256200001138495,0.993,0.984
div,a_max_b_random_01.in,42.71519999929296,42.84430000006978,43.97170000083861,43.520100000023376,0.997,1.010
div,a_max_b_random_02.in,62.09779999880993,61.80520000089018,63.05389999943145,62.907600000471575,1.005,1.002
div,burnikel_ziegler_bound_00.in,52.450400000452646,53.309799999624374,53.185900000244146,54.180900000574184,0.984,0.982
div,burnikel_ziegler_bound_01.in,46.23310000170022,47.74840000027325,47.67549999996845,47.832299998844974,0.968,0.997
div,burnikel_ziegler_bound_02.in,59.13239999972575,61.13949999962642,60.05869999899005,63.54479999936302,0.967,0.945
div,burnikel_ziegler_bound_03.in,46.91169999932754,47.921100000166916,49.128700000437675,48.9847999997437,0.979,1.003
div,example_00.in,10.114000000612577,10.090699999636854,10.606499999994412,10.551000001214561,1.002,1.005
div,large_00.in,45.69600000104401,45.649600000615465,47.7960999996867,48.31509999894479,1.001,0.989
div,large_01.in,50.381799999740906,50.87920000005397,51.23319999984233,51.72289999973145,0.990,0.991
div,length_ratio_integer_00.in,63.604299999497016,64.28240000059304,64.47040000057314,65.16110000120534,0.989,0.989
div,length_ratio_integer_01.in,60.84599999849161,61.77939999906812,61.412799999743584,63.045400000191876,0.985,0.974
div,length_ratio_integer_02.in,70.43610000073386,69.60319999961939,72.00270000066666,72.1518999998807,1.012,0.998
div,length_ratio_integer_03.in,59.818100000484264,60.33449999995355,62.28050000026997,62.18730000000505,0.991,1.001
div,length_ratio_integer_04.in,63.52770000012242,66.91490000048361,68.22189999911643,66.86969999827852,0.949,1.020
div,length_ratio_integer_05.in,69.39000000056694,69.8618999995233,71.14809999984573,73.29480000043986,0.993,0.971
div,max_00.in,14.595099999496597,14.905799998814473,14.79040000049281,14.418500000829226,0.979,1.026
div,max_01.in,16.62179999948421,16.70209999974759,16.558299999815063,16.63879999978235,0.995,0.995
div,max_02.in,16.124299998409697,15.686300001107156,16.18659999985539,15.931899999486632,1.028,1.016
div,medium_00.in,35.14809999978752,81.25479999944218,34.76140000020678,78.22470000064641,0.433,0.444
div,medium_01.in,46.42049999893061,45.492299999750685,46.63540000001376,45.748699998512166,1.020,1.019
div,medium_02.in,48.434399999678135,49.68600000029255,50.142100000812206,50.73099999935948,0.975,0.988
div,r_nearly_zero_00.in,34.95359999942593,78.559800000221,34.34510000079172,78.51579999987734,0.445,0.437
div,r_nearly_zero_01.in,69.38400000035472,69.86230000075011,69.64429999970889,69.9363000003359,0.993,0.996
div,r_nearly_zero_02.in,44.66909999973723,44.98619999867515,46.6206000000966,46.04539999854751,0.993,1.012
div,small_00.in,28.6247000003641,49.91850000078557,28.2788000004075,48.0611000002682,0.573,0.588
